2017/08/23 09:23:12 [error] 7#7: *44 open() "/srv/web/bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/"
2017/08/23 09:23:12 [error] 7#7: *44 open() "/srv/web/bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/"
2017/08/23 09:23:12 [error] 7#7: *44 open() "/srv/web/bundles/pivot88quality/vendor/select2/select2.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/select2/select2.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/"
2017/08/23 09:23:12 [error] 7#7: *44 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/"
2017/08/23 09:23:12 [error] 7#7: *44 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:23:12 [error] 7#7: *41 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/"
2017/08/23 10:15:52 [error] 7#7: *63 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer-hover.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer-hover.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 10:57:09 [error] 7#7: *73 FastCGI sent in stderr: "PHP message: PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0" while reading response header from upstream, client: 192.168.128.1, server: , request: "POST /app_dev.php/rest/operation/v1/importfiles HTTP/1.1", upstream: "fastcgi://192.168.128.7:9000", host: "localhost:8080"
2017/08/23 10:58:41 [error] 7#7: *75 FastCGI sent in stderr: "PHP message: PHP Warning:  Unknown: Input variables exceeded 1000. To increase the limit change max_input_vars in php.ini. in Unknown on line 0" while reading response header from upstream, client: 192.168.128.1, server: , request: "POST /app_dev.php/rest/operation/v1/importfiles HTTP/1.1", upstream: "fastcgi://192.168.128.7:9000", host: "localhost:8080"
2017/09/05 04:34:26 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/jquery/dist/jquery.min.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [error] 7#7: *9 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [error] 7#7: *11 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [error] 7#7: *9 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/09/05 04:34:27 [crit] 7#7: *6 stat() "/srv/web/bundles/pivot88quality/fonts/fontawesome-webfont.woff2" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
